,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
1,HL7348,SmartWatch,4,8/9/2018,Rio de Janeiro,1400,
2,HL6259,Notebook,1,5/29/2018,Rio de Janeiro,3500,
11,HL2714,Tablet,2,2/26/2018,Rio de Janeiro,1600,
15,HL2714,Tablet,3,6/10/2018,Rio de Janeiro,1600,
19,HL1148,Iphone,3,8/16/2018,Rio de Janeiro,5300,
31,HL7348,SmartWatch,3,12/30/2018,Rio de Janeiro,1400,
37,HL2714,Tablet,2,6/13/2018,Rio de Janeiro,1600,
45,HL1918,Android,5,1/7/2018,Rio de Janeiro,3400,
46,HL9654,Televisão,5,9/1/2018,Rio de Janeiro,2500,
63,HL7348,SmartWatch,2,10/21/2018,Rio de Janeiro,1400,
68,HL7348,SmartWatch,4,3/31/2018,Rio de Janeiro,1400,
69,HL7348,SmartWatch,1,2/8/2018,Rio de Janeiro,1400,
73,HL9654,Televisão,3,1/3/2018,Rio de Janeiro,2500,
77,HL2714,Tablet,1,2/18/2018,Rio de Janeiro,1600,
81,HL2714,Tablet,4,1/29/2018,Rio de Janeiro,1600,
83,HL2267,Câmera,1,12/28/2018,Rio de Janeiro,2100,
89,HL6259,Notebook,3,3/20/2018,Rio de Janeiro,3500,
107,HL2714,Tablet,5,12/25/2018,Rio de Janeiro,1600,
110,HL6259,Notebook,4,1/17/2018,Rio de Janeiro,3500,
113,HL7348,SmartWatch,2,7/25/2018,Rio de Janeiro,1400,
129,HL1148,Iphone,2,5/7/2018,Rio de Janeiro,5300,
138,HL2267,Câmera,5,5/8/2018,Rio de Janeiro,2100,
139,HL6259,Notebook,5,7/20/2018,Rio de Janeiro,3500,
150,HL9654,Televisão,4,1/2/2018,Rio de Janeiro,2500,
151,HL1148,Iphone,2,5/5/2018,Rio de Janeiro,5300,
160,HL1148,Iphone,5,10/28/2018,Rio de Janeiro,5300,
166,HL2267,Câmera,5,11/10/2018,Rio de Janeiro,2100,
167,HL7348,SmartWatch,3,4/11/2018,Rio de Janeiro,1400,
170,HL1148,Iphone,2,1/11/2018,Rio de Janeiro,5300,
175,HL6259,Notebook,3,9/8/2018,Rio de Janeiro,3500,
182,HL1148,Iphone,1,8/11/2018,Rio de Janeiro,5300,
183,HL2714,Tablet,1,6/21/2018,Rio de Janeiro,1600,
196,HL1148,Iphone,5,1/26/2018,Rio de Janeiro,5300,
199,HL2714,Tablet,3,7/13/2018,Rio de Janeiro,1600,
205,HL2267,Câmera,4,8/23/2018,Rio de Janeiro,2100,
206,HL7348,SmartWatch,4,6/3/2018,Rio de Janeiro,1400,
213,HL1148,Iphone,4,11/16/2018,Rio de Janeiro,5300,
226,HL2714,Tablet,3,2/16/2018,Rio de Janeiro,1600,
230,HL9654,Televisão,2,10/6/2018,Rio de Janeiro,2500,
233,HL7348,SmartWatch,3,3/3/2018,Rio de Janeiro,1400,
234,HL2714,Tablet,1,5/9/2018,Rio de Janeiro,1600,
239,HL7348,SmartWatch,4,5/19/2018,Rio de Janeiro,1400,
250,HL1918,Android,2,2/1/2018,Rio de Janeiro,3400,
254,HL1918,Android,4,8/11/2018,Rio de Janeiro,3400,
258,HL1148,Iphone,1,11/12/2018,Rio de Janeiro,5300,
262,HL9654,Televisão,5,6/22/2018,Rio de Janeiro,2500,
266,HL1918,Android,1,2/13/2018,Rio de Janeiro,3400,
271,HL1148,Iphone,3,1/25/2018,Rio de Janeiro,5300,
273,HL7348,SmartWatch,2,3/28/2018,Rio de Janeiro,1400,
276,HL7348,SmartWatch,1,8/20/2018,Rio de Janeiro,1400,
281,HL1148,Iphone,5,7/31/2018,Rio de Janeiro,5300,
295,HL2714,Tablet,4,1/26/2018,Rio de Janeiro,1600,
300,HL7348,SmartWatch,1,7/4/2018,Rio de Janeiro,1400,
301,HL2714,Tablet,1,2/2/2018,Rio de Janeiro,1600,
322,HL2714,Tablet,1,5/25/2018,Rio de Janeiro,1600,
332,HL7348,SmartWatch,5,4/25/2018,Rio de Janeiro,1400,
344,HL1148,Iphone,4,12/29/2018,Rio de Janeiro,5300,
346,HL1148,Iphone,1,9/6/2018,Rio de Janeiro,5300,
347,HL2714,Tablet,1,8/15/2018,Rio de Janeiro,1600,
354,HL6259,Notebook,3,3/14/2018,Rio de Janeiro,3500,
360,HL1918,Android,2,3/23/2018,Rio de Janeiro,3400,
368,HL6259,Notebook,4,12/23/2018,Rio de Janeiro,3500,
373,HL7348,SmartWatch,3,1/11/2018,Rio de Janeiro,1400,
385,HL6259,Notebook,2,12/8/2018,Rio de Janeiro,3500,
398,HL9654,Televisão,4,11/25/2018,Rio de Janeiro,2500,
400,HL2714,Tablet,2,10/21/2018,Rio de Janeiro,1600,
402,HL7348,SmartWatch,2,9/29/2018,Rio de Janeiro,1400,
403,HL2267,Câmera,2,7/14/2018,Rio de Janeiro,2100,
429,HL1918,Android,4,6/10/2018,Rio de Janeiro,3400,
439,HL6259,Notebook,4,11/23/2018,Rio de Janeiro,3500,
453,HL2267,Câmera,2,12/5/2018,Rio de Janeiro,2100,
460,HL7348,SmartWatch,4,10/5/2018,Rio de Janeiro,1400,
464,HL7348,SmartWatch,3,4/28/2018,Rio de Janeiro,1400,
475,HL9654,Televisão,4,3/30/2018,Rio de Janeiro,2500,
479,HL2714,Tablet,2,9/3/2018,Rio de Janeiro,1600,
493,HL9654,Televisão,3,6/19/2018,Rio de Janeiro,2500,
